STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
HOWE AV,AMERICAN RIVER DR,NB,1983,2451,10/18/2007
WATT AV,AUBURN BL,SB,1982,1887,09/14/2017
COLLEGE TOWN DR,LA RIVIERA DR,WB,1980,839,03/13/2002
TRUXEL RD,GATEWAY PARK BL,NB,1980,2314,05/05/2011
EL CAMINO AV,RT 80B,EB/WB,1980,2512,10/04/2007
MACK RD,TANGERINE AV,EB/WB,1978,2320,01/12/1993
BRUCEVILLE RD,COSUMNES RIVER BL,NB,1977,1359,04/10/2018
FRUITRIDGE RD,ETHEL WY,EB/WB,1977,2297,09/15/1993
STOCKTON BL,U ST,NB/SB,1976,2525,02/03/2005
POWER INN RD,FOLSOM BL,NB,1974,2163,06/03/1992
12TH ST,D ST,SB,1973,1293,09/29/1998
FLORIN RD,24TH ST,EB/WB,1973,2457,10/25/1994
BRUCEVILLE RD,COSUMNES RIVER BL,WB,1970,2003,10/17/2017
FRUITRIDGE RD,DANA WY,EB/WB,1969,2016,01/14/2014
STOCKTON BL,FRUITRIDGE RD,NB/SB,1969,2119,11/23/2002
HOWE AV,LA RIVERA DR,SB,1965,2402,02/05/2003
SUTTERVILLE RD,FREEPORT BL,EB/WB,1961,1852,11/16/1994
ROSEVILLE RD,CONNIE DR,NB/SB,1960,1728,12/04/2003
COSUMNES RIVER BL,CENTER PK,EB/WB,1960,1917,09/07/2005
MACK RD,CENTER PK,EB/WB,1959,2548,09/05/2002
65TH EX,14TH AV,NB/SB,1958,2114,12/16/1993
STOCKTON BL,EL PARAISO AV,NB/SB,1958,2522,11/19/2002
21ST AV,62ND ST,EB/WB,1958,4482,01/08/2014
FRUITRIDGE RD,24TH ST,EB/WB,1957,2174,11/30/2005
FAIR OAKS BL,UNIVERSITY AV,WB,1956,1900,04/02/1990
FAIR OAKS BL,FULTON AV,WB,1956,1900,04/04/1990
65TH EX,FRUITRIDGE RD,NB/SB,1955,1967,12/04/1996
FLORIN RD,SOUTH LAND PARK DR,EB/WB,1955,2487,02/18/1999
J ST,8TH ST,EB,1954,1303,02/10/2016
SOUTH WATT AV,JACKSON RD,NB/SB,1953,2053,07/11/1995
SEARS DRWY,ARDEN WY,WB,1953,2408,09/20/2017
FRUITRIDGE RD,24TH ST,EB/WB,1952,2231,02/12/2020
HOWE AV,AMERICAN AV,SB,1952,2289,03/23/1999
POWER INN RD,FRUITRIDGE RD,NB/SB,1950,2251,12/02/1993
ARDEN WY,HERITAGE LN,EB,1949,2409,05/24/1988
SUTTERVILLE RD,21ST ST,EB/WB,1946,1954,04/08/1997
J ST,DOLORES WY,EB/WB,1946,2246,07/14/1998
FOLSOM BL,HOWE AV,SB,1944,1935,12/12/2002
FOLSOM BL,34TH ST,EB/WB,1942,1620,02/19/1998
TRUXEL RD,VALLARTA CR,NB/SB,1936,2843,06/16/2015
DEL PASO RD,SR-99 NB ON RAMP,WB,1935,1187,03/10/2015
FLORIN PERKINS RD,UNSWORTH AV,NB/SB,1935,2266,10/31/1995
HOWE AV,AMERICAN RIVER DR,SB,1934,2071,10/18/2007
J ST,6TH ST,EB,1933,1580,11/18/1996
RICHARDS BL,BERCUT DR,EB/WB,1928,2126,06/08/1994
FLORIN PERKINS RD,JACKSON RD,NB/SB,1927,2056,10/25/2007
FOLSOM BL,WISSEMANN DR,EB/WB,1927,2082,09/13/1993
FREEPORT BL,15TH AV,NB/SB,1926,2339,11/20/1996
NORTH 16TH ST,NORTH C ST,NB,1924,3551,06/15/1994
ELSIE AV,STOCKTON BL,EB/WB,1923,1970,09/06/1995
12TH ST,F ST,SB,1922,1694,05/22/2014
12th Street,approach to F Street,SB,1922,1694,05/22/2014
TRUXEL RD,RT 80 WB OFF R,NB,1921,2291,04/01/2009
DEL PASO RD,SR-99 SB RAMPS,WB,1920,1392,03/10/2015
HOWE AV,UNIVERSITY AV,NB,1920,1748,08/27/2002
NORTHGATE BL,WEST SILVER EAGLE RD,NB/SB,1920,2276,09/08/1993
FOLSOM BL,POWER INN RD,WB,1919,1900,04/05/1990
HORNET DR,COLLEGE TOWN DR,NB/SB,1918,2150,06/20/1995
DEL PASO RD,RT 5 NB OFF R,WB,1915,1361,04/01/2009
MARCONI AV,HERON WY,NB/SB,1913,2220,02/08/2005
MARCONI AV,HERON WY,NB/SB,1913,2220,02/08/2005
ARDEN WY,ALTA ARDEN EX,WB,1913,2301,08/19/1993
Stockton Bl,Btwn U St & V St,NB/SB,1912,1806,10/30/2012
FORIN RD,LOMA WY,EB/WB,1910,2498,12/16/2003
16TH ST,CAPITOL AV,NB,1908,2050,10/20/1998
AUBURN BL,WINDING WY,EB/WB,1907,1894,06/28/1995
TRUXEL RD,GATEWAY PARK BL,NB,1907,2334,06/23/2015
MEADOWVIEW RD,CORAL GABLES CT,EB/WB,1906,2296,02/03/1994
STOCKTON BL,EL PARAISO AV,NB/SB,1904,2501,11/20/2002
BELL AV,RALEY BL,WB,1901,69,07/23/1991
STOCKTON BL,CITY LIMITS,NB/SB,1896,2388,09/29/1993
EL CAMINO AV,VAN NESS ST,EB/WB,1891,2104,12/08/1994
POWER INN RD,ELDER CREEK RD,NB/SB,1890,2178,12/02/1993
ARDEN WY,CHALLENGE WY,WB,1886,1800,11/20/2008
TRUXEL RD,RT 80,SB,1884,2268,04/01/2010
J ST,6TH ST,EB,1882,1492,06/22/1994
SUTTERVILLE BP,FRANKLIN BL,EB/WB,1878,1939,10/18/2007
STOCKTON BL,48TH AV,NB/SB,1877,2212,12/11/2003
Meadowview Rd,Btwn Amherst St & Red Willow St,EB/WB,1876,1939,11/01/2012
65TH ST,ELDER CREEK RD,NB/SB,1876,2044,03/23/2000
48TH ST,,NB/SB,1875,1580,01/10/2002
POWER INN RD,CAPISTRANO WY,NB/SB,1875,2080,12/02/1993
STOCKTON BL,FRUITRIDGE RD,NB/SB,1870,2130,09/28/1993
HOWE AV,SWARTHMORE DR,SB,1870,2338,10/22/2008
COLLEGE TOWN DR,FAIRBAIRN,EB/WB,1869,1343,03/15/2003
FREEPORT BL,35TH AV,NB/SB,1868,1789,02/04/2014
FLORIN RD,24TH ST,EB/WB,1864,2200,02/18/1999
FLORIN RD,20TH ST,EB/WB,1864,2207,10/26/1994
RICHARDS BL,NORTH 3RD ST,EB/WB,1863,2116,08/09/1995
J ST,6TH ST,EB,1862,1709,04/10/1997
FRUITRIDGE RD,28TH ST,EB/WB,1862,1994,01/14/2014
STOCKTON BL,FRUITRIDGE RD,NB/SB,1862,2319,11/21/2002
POWER INN RD,FOLSOM BL,WB,1861,1593,09/20/2017
NORTHGATE BL,RIO TIERRA AV,NB/SB,1861,2299,01/29/2014
FRUITRIDGE RD,44TH ST,EB/WB,1861,2516,11/01/2007
Del Paso RD,east of SR-99 Northbound Ramps,WB,1860,1237,01/30/2013
WATT AV,AUBURN BL,NB,1860,1841,09/14/2017
Del Paso RD,east of SR-99 Northbound Ramps,EB/WB,1860,2085,01/30/2013
STOCKTON BL,FRUITRIDGE RD,NB/SB,1859,2058,11/16/2002
STOCKTON BL,FRUITRIDGE RD,NB/SB,1859,2309,11/18/2002
FREEPORT BL,PERKINS WY,NB/SB,1857,1927,11/20/1996
TRUXEL RD,RT 80 WB OFF R,SB,1852,2253,04/01/2009
OCCIDENTAL DR,PURDUE CT,NB/SB,1852,3930,10/08/2002
POWER INN RD,21ST AV,NB,1850,1098,10/08/2015
POWER INN RD,21ST AV,NB/SB,1850,1657,10/08/2015
FAIR OAKS BL,HOWE AV,EB,1848,2448,12/12/2002
POWER INN RD,21ST AV,NB,1844,1150,10/07/2015
POWER INN RD,21ST AV,NB/SB,1844,1692,10/07/2015
FRANKLIN BL,TURNBRIDGE DR,NB,1843,1011,11/14/2007
HOWE AV,FOLSOM BL,SB,1843,2002,07/14/1992
ARDEN-GARDEN CONNECTOR,NORTHGATE BL,EB/WB,1843,2130,01/26/2005
ARDEN WY,CHALLENGE WY,EB,1843,2210,08/19/1993
HOWE AV,SWARTHMORE DR,SB,1843,2539,11/16/1993
STOCKTON BL,BROADWAY,NB,1842,1056,11/21/2002
DEL PASO RD,RT 5 SB OFF R,EB,1842,1386,04/01/2009
W ST,8TH ST,WB,1842,2592,06/19/2001
FOLSOM BL,BICENTENNIAL CR,WB,1841,1592,09/13/2005
STOCKTON BL,BROADWAY,NB/SB,1841,2005,11/20/2002
FLORIN PERKINS RD,24TH AV,NB/SB,1840,1885,10/11/1995
TRUXEL RD,RT 80,SB,1839,2212,03/11/2009
FRUITRIDGE RD,MARTIN LUTHER KING JR BL,EB/WB,1839,2299,09/13/1994
SUTTERVILLE RD,WEST PACIFIC AV,EB/WB,1837,2261,09/05/1995
Q ST,RT 5 SB OFF R,EB,1836,760,10/01/2008
STOCKTON BL,FRUITRIDGE RD,NB/SB,1836,2311,11/20/2002
FRANKLIN BL,TURNBRIDGE DR,NB,1835,1134,05/14/2002
FOLSOM BL,HOWE AV,WB,1834,1438,12/12/2002
STOCKTON BL,FRUITRIDGE RD,NB/SB,1830,2421,11/22/2002
FREEPORT BL,20TH AV,NB/SB,1829,2339,08/03/1988
NATOMAS BL,PARKWAY PLAZA DRWY,SB,1828,947,01/29/2014
ARDEN WY,HERITAGE LN,WB,1827,2400,06/03/1992
FRUITRIDGE RD,56TH ST,EB/WB,1826,1830,06/03/2014
GARDEN HWY,NORTHGATE BL,EB/WB,1825,2079,09/12/2007
SUTTERVILLE RD,21ST ST,EB/WB,1824,1776,07/09/2002
DEL PASO RD,RT 5,EB,1823,1241,03/11/2009
DEL PASO RD,EAST OF SR 99 NB RAMPS,WB,1822,1338,03/04/2015
DEL PASO RD,EAST OF SR 99 NB RAMPS,EB/WB,1822,2198,03/04/2015
FLORIN RD,GREENHAVEN DR,EB,1821,1358,10/18/2007
HOWE AV,FAIR OAKS BL,SB,1821,2108,02/05/2003
ERSKIN FISH WY,POP BECKER ST,NB,4,7,10/21/2009
NATOMAS BL,DEL PASO RD,SB,1818,841,04/12/2016
ELDER CREEK RD,BIBBS DR,EB/WB,1818,1837,02/04/2014
ARENA BL,TRUXEL RD,EB/WB,1818,1845,03/29/2007
POCKET RD,ALMA VISTA WY,EB/WB,1817,1857,07/31/1995
FRUITRIDGE RD,28TH ST,EB/WB,1815,2057,11/01/2007
39TH ST,U ST,NB/SB,1814,2134,01/10/2002
TRUXEL RD,GATEWAY PARK BL,SB,1814,2158,03/04/2014
FRANKLIN BL,DOSS WY,NB/SB,1813,2350,08/31/1995
ROSEVILLE RD,CONNIE DR,NB/SB,1812,1537,10/11/2007
STOCKTON BL,BROADWAY,NB/SB,1810,2089,11/19/2002
FAIR OAKS BL,CAMPUS COMMONS RD,WB,1809,1638,08/21/2002
HOWE AV,FAIR OAKS BL,SB,1809,2052,04/14/2011
NORTH 16TH ST,C ST,NB,1809,3686,12/10/2003
NORTHGATE BL,PATIO AV,NB/SB,1807,2292,01/26/2005
O ST,U ST,NB,1804,1176,05/07/1996
P ST,3RD ST,WB,1803,4647,06/23/1994
STOCKTON BL,21ST AV,NB/SB,1802,2028,09/28/1993
MEADOWVIEW RD,FREEPORT BL,EB/WB,1802,2038,02/03/1994
FLORIN RD,24TH ST,EB/WB,1802,2226,10/25/1994
FRUITRIDGE RD,73RD ST,EB/WB,1800,1975,12/10/2003
MACK RD,FRANKLIN BL,EB/WB,1800,2382,04/28/2010
FLORIN PERKINS RD,ELDER CREEK RD,NB/SB,1799,1838,10/10/1995
STOCKTON BL,SHERMAN WY,NB/SB,1798,2912,03/21/2012
FLORIN RD,CROMWELL WY,EB/WB,1797,2136,01/10/2006
FRANKLIN BL,MACK RD,NB,1796,1056,05/01/2007
65TH EX,21ST AV,NB/SB,1796,1825,12/16/1993
STOCKTON BL,MC MAHON DR,NB/SB,1796,2117,09/28/1993
FOLSOM BL,HOWE AV,WB,1795,1415,10/25/2007
FOLSOM BL,WISSEMANN DR,EB/WB,1795,1830,09/13/1993
47TH AV,27TH ST,EB/WB,1795,2106,03/09/2004
Q ST,7TH ST,EB,1793,857,06/01/1993
ARDEN WY,HERITAGE LN,EB,1793,2074,05/02/2001
ARNOLD GAMBLE CR (N),HONOR PKWY,EB,3,6,10/21/2009
65TH ST,Q ST,NB/SB,1791,1980,07/25/1994
W ST,11TH ST,WB,1789,1117,07/13/1993
FLORIN PERKINS RD,FOLSOM BL,NB/SB,1789,1804,10/12/1995
FLORIN PERKINS RD,ELDER CREEK RD,NB/SB,1788,1793,03/18/1997
GARDEN HY,GATEWAY OAKS DR,EB/WB,1787,1693,05/01/2003
43RD AV,RIVERSIDE BL,EB/WB,1786,2125,07/23/2002
ELDER CREEK RD,65TH ST,EB/WB,1785,1931,10/25/2007
Q ST,5TH ST,EB,1782,616,06/09/1993
FLORIN PERKINS RD,ELDER CREEK RD,NB/SB,1782,1636,10/11/1995
STOCKTON BL,48TH AV,NB/SB,1780,1792,05/18/2011
HOWE AV,AMERICAN RIVER DR,SB,1780,2208,08/27/2002
TRUXEL RD,INTERSTATE 80,NB,1779,2109,02/22/2012
STOCKTON BL,MASSIE CT,NB,1778,1223,02/26/1998
FLORIN PERKINS RD,JACKSON RD,NB,1778,1656,08/17/2005
ARDEN WY,ERICKSON ST,EB/WB,1778,2049,02/13/1991
POWER INN RD,ALPINE AV,NB,1777,1067,04/17/2007
ELVAS AV,56TH ST,NB/SB,1777,1744,09/13/2007
JULLIARD DR,OCCIDENTAL DR,NB/SB,1776,3484,10/08/2002
FAIR OAKS BL,CAMPUS COMMONS RD,WB,1775,1250,01/22/1997
ROSEVILLE RD,CONNIE DR,EB/WB,1775,1727,08/17/1999
DEL PASO RD,E COMMERCE WY,WB,1774,1201,03/04/2014
ELVAS AV,56TH ST,NB/SB,1774,1778,12/04/2003
DEL PASO RD,E COMMERCE WY,EB/WB,1774,2144,03/04/2014
TRUXEL RD,ROCKYBEND DR,NB/SB,1774,2328,02/05/2003
MACK RD,TANGERINE AV,EB/WB,1773,2389,05/22/1997
FOLSOM BL,JACKSON RD,WB,1772,1359,02/05/2003
I ST,3RD ST,WB,1771,2868,06/20/1994
FRANKLIN BL,COSUMNES RIVER BL,NB,1769,977,05/01/2007
ELKHORN BL,RT 99,EB/WB,1768,1513,09/17/2008
SOUTH WATT AV,FOLSOM BL,NB,1768,1532,02/13/2006
FRUITRIDGE RD,53RD ST,EB/WB,1768,2094,09/15/1993
MEADOWVIEW RD,DETROIT BL,WB,1767,1369,05/01/2007
MEADOWVIEW RD,DETROIT BL,WB,1767,1369,05/01/2007
CONNIE DR,ROSEVILLE RD,NB/SB,1766,1566,09/14/2011
21ST AV,69TH ST,EB/WB,1765,3537,01/08/2014
16TH ST,C ST,NB,1764,3203,09/29/1992
POWER INN RD,21ST AV,NB,1763,1098,10/06/2015
POWER INN RD,21ST AV,NB/SB,1763,1656,10/06/2015
TRUXEL RD,GATEWAY PARK BL,SB,1761,2172,02/26/2009
GARDEN HWY,TRUXEL RD,EB/WB,1759,1883,09/16/2008
MACK RD,ARCHEAN WY,EB/WB,1759,2122,05/22/1997
ETHAN WY,HALLMARK DR,NB/SB,1758,2094,11/30/1993
FRUITRIDGE RD,POWER INN RD,EB/WB,1757,1743,03/09/2004
J ST,16TH ST,EB,1757,1948,03/31/1993
FAIR OAKS BL,CAMPUS COMMONS RD,EB,1757,2737,08/21/2002
NORTH 16TH ST,A ST,NB,1755,3403,06/14/1994
FLORIN RD,RT 5,WB,1754,1460,09/16/2008
12th ST,approach to B St,SB,1753,1214,09/25/2013
WEST EL CAMINO AV,CORKWOOD CT,EB/WB,1753,2105,08/28/1995
COSUMNES RIVER BL,BRUCEVILLE RD,WB,1753,2453,11/17/2015
POWER INN RD,FOLSOM BL,NB,1752,1596,09/20/2017
HOWE AV,UNIVERSITY AV,NB,1751,1756,06/10/2009
FRUITRIDGE RD,STOCKTON BL,EB/WB,1751,2123,10/13/1994
STOCKTON BL,FRUITRIDGE RD,NB/SB,1748,2394,11/19/2002
POWER INN RD,BELVEDERE AV,NB,1747,1167,04/17/2007
POWER INN RD,BELVEDERE AV,NB,1747,1214,04/07/2016
STOCKTON BL,BROADWAY,NB/SB,1746,1965,11/21/2002
MEADOWVIEW RD,COLLINGWOOD ST,WB,1745,1646,10/24/1997
STOCKTON BL,DIAS AV,NB/SB,1745,2038,09/28/1993
EL CAMINO AV,CLAY ST,EB/WB,1745,2119,01/13/1998
STOCKTON BL,22ND AV,NB/SB,1744,2068,09/28/1993
21ST ST,S ST,NB,1743,1127,09/28/1992
FOLSOM BL,JULLIARD DR,EB/WB,1743,1959,08/19/1999
GARDEN HY,RT 5 NBON R,EB/WB,1743,2215,06/25/2002
Ethan Wy,Arden Wy & Hallmark Dr,NB/SB,1742,2269,08/02/2012
39TH ST,,NB/SB,1741,1947,01/10/2002
MEADOWVIEW RD,FREEPORT BL,EB/WB,1741,2223,04/28/2012
DEL PASO RD,INTERSTATE 5,WB,1740,1344,02/08/2018
J ST,6TH ST,EB,1739,1515,11/05/1992
16TH ST,E ST,NB,1739,2865,09/17/1992
BRUCEVILLE RD,WEST STOCKTON BL,NB,1737,1079,04/10/2018
FRANKLIN BL,TURNBRIDGE DR,NB/SB,1733,2021,08/24/1995
FRANKLIN BL,FLORIN RD,NB/SB,1733,2302,08/24/1995
DEL PASO RD,INTERSTATE 5,WB,1732,1323,02/08/2018
STOCKTON BL,BROADWAY,NB/SB,1731,2002,11/20/2002
NORTH 16TH ST,SPROULE AV,NB/SB,1731,3637,10/10/1996
16TH ST,C ST,NB,1730,3422,09/24/1998
TRUXEL RD,INTERSTATE 80,SB,1729,2025,02/08/2018
FRUITRIDGE RD,RT 99 SBON R,EB/WB,1728,1992,09/15/1993
V ST,39TH ST,EB/WB,1727,2054,01/10/2002
NORTHGATE BL,DEL PASO RD,NB/SB,1726,1800,09/17/2008
STOCKTON BL,QUINTA CT,NB/SB,1726,2130,06/29/1994
SHAW RIVER WY,RUSH RIVER DR,WB,4,6,02/27/1998
65TH ST,11TH AV,NB,1723,1095,06/14/2011
12TH AV,30TH ST,EB/WB,1722,1913,09/09/1993
NORTHGATE BL,GARDEN HWY,NB/SB,1722,2261,09/17/2008
J ST,12TH ST,EB,1721,2232,03/31/1993
16TH ST,U ST,NB,1720,1255,05/31/2001
POWER INN RD,14TH AV,NB,1720,1329,10/25/2007
TRUXEL RD,ARENA BL,SB,1719,988,09/21/2017
TRUXEL RD,I 80 WB TRUXEL RD OFF RAMP,NB,1718,2049,09/26/2017
FRANKLIN BL,EAST PK,NB/SB,1718,2148,08/31/1995
J ST,8TH ST,EB,1717,1509,04/17/1997
STOCKTON BL,FRUITRIDGE RD,NB/SB,1717,1999,09/28/1993
RICHARDS BL,NORTH 3RD ST,EB/WB,1716,1796,06/14/1994
FOLSOM BL,HORNET DR,EB/WB,1716,1812,09/09/1993
ARDEN GARDEN CONNECTOR,NORTHGATE BL,EB/WB,1713,2244,10/04/2007
DEL PASO RD,INTERSTATE 5,WB,1711,1187,02/22/2012
TANGERINE AV,MACK RD,NB/SB,1711,1795,01/15/2002
NATOMAS BL,NORTH PARK DR,SB,1710,915,01/15/2014
FREEPORT BL,VALLEJO WY,NB/SB,1710,1867,03/05/1997
FRUITRIDGE RD,DANA WY,EB/WB,1709,1667,02/10/2016
HOWE AV,COLLEGE TOWN DR,SB,1709,2295,04/06/2010
ARDEN WY,EXPOSITION BL,WB,1707,1908,12/12/2002
BRUCEVILLE RD,CENTER PKWY,NB,1705,1177,02/23/2016
COSUMNES RIVER BL,BRUCEVILLE RD,WB,1705,1855,04/10/2018
ARDEN WY,CHALLENGE WY,WB,1705,2138,04/14/2011
16TH ST,G ST,NB,1702,2624,07/01/1999
COLLEGE TOWN DR,FAIRBAIRN,WB,1701,1137,02/05/2003
J ST,25TH ST,EB,1699,2580,05/10/1995
MAIN AV,PELL DR,EB/WB,1695,1805,11/17/2015
FRANKLIN BL,MACK RD,NB/SB,1695,2040,08/24/1995
WINDCLOUD AV,Btwn TIDEWIND DR & EAST END CUL DE SAC,EB,3,6,07/25/2013
FRANKLIN BL,FLORIN RD,NB,1694,895,09/17/2008
ARDEN WY,EVERGREEN ST,EB/WB,1694,2068,07/27/1993
STOCKTON BL,SHERMAN WY,NB/SB,1693,1845,03/21/2012
FRANKLIN BL,FLORIN RD,NB,1692,1101,02/17/1999
CENTER PK,ARROYO VISTA DR,NB/SB,1692,1433,03/25/1993
COLLEGE TOWN DR,FAIRBAIRN,EB,1691,481,03/15/2003
ARDEN WY,HERITAGE LN,WB,1691,2144,05/02/2001
FRANKLIN BL,FLORIN RD,NB,1688,918,05/13/2015
FOLSOM BL,58TH ST,EB/WB,1687,1502,04/30/2002
16TH ST,D ST,NB,1687,2978,05/02/1996
NORWOOD AV,JESSIE AV,NB/SB,1685,1770,03/17/1998
RICHARDS BL,BERCUT DR,EB/WB,1685,2040,06/16/2015
SAN JUAN RD,ISHI CR,EB/WB,1685,2151,02/05/2003
ARDEN WY,HERITAGE LN,WB,1684,2402,05/24/1988
DEL PASO RD,E COMMERCE WY,EB,1683,2102,09/27/2017
MACK RD,BROOKFIELD DR,EB/WB,1683,2261,02/02/1994
TRUXEL RD,RT 80,SB,1682,2130,03/29/2007
STOCKTON BL,FRUITRIDGE RD,NB/SB,1679,2350,04/24/2001
FRUITRIDGE RD,DANA WY,EB/WB,1677,904,02/10/2016
ARCADE BL,DEL PASO BL,EB/WB,1676,1785,01/15/2014
POWER INN RD,RAMONA AV,NB/SB,1676,1850,03/22/2003
ETHAN WY,ARDEN WY,NB/SB,1676,2239,01/21/1998
TRUXEL RD,INTERSTATE 80,NB,1675,1564,02/08/2018
FOLSOM BL,JACKSON RD,EB/WB,1675,1615,03/16/2003
RIVERSIDE BL,ALLENPORT WY,NB/SB,1674,1799,04/18/1995
Power Inn RD,north of Belvedere Av,NB,1673,1166,09/04/2013
Power Inn RD,north of Belvedere Av,NB/SB,1673,1166,09/04/2013
HOWE AV,AMERICAN RIVER DR,SB,1673,2329,11/16/1993
ETHAN WY,EXPOSITION BL,NB/SB,1673,2486,01/10/2019
NATOMAS BL,DEL PASO RD,SB,1672,1027,03/16/2005
COSUMNES RIVER BL,BRUCEVILLE RD,WB,1671,1875,10/27/2010
BRUCEVILLE RD,COSUMNES RIVER BL,WB,1671,1875,10/27/2010
WEST EL CAMINO AV,RIVER PLAZA DR,WB,1669,817,02/23/1994
FAIR OAKS BL,HOWE AV,WB,1669,1476,08/23/1993
STOCKTON BL,RIZA AV,NB/SB,1669,2152,01/06/2004
FRANKLIN BL,FRUITRIDGE RD,NB/SB,1668,2020,09/18/2008
ARDEN WY,BOXWOOD ST,EB/WB,1668,2072,09/12/2007
FOLSOM BL,HORNET DR,EB/WB,1668,2480,10/08/1998
J ST,7TH ST,EB,1667,1394,03/22/1993
16TH ST,R ST,NB,1666,1167,08/24/2000
STOCKTON BL,32ND ST,NB/SB,1666,1707,06/28/1993
STOCKTON BL,VICTORY AV,NB/SB,1666,1933,08/10/2005
STOCKTON BL,35TH ST,NB/SB,1665,1597,10/18/1993
FRANKLIN BL,37TH AV,NB/SB,1664,1779,01/11/2001
FRUITRIDGE RD,57TH ST,EB/WB,1664,1964,04/15/1999
NORTHGATE BL,ROSIN CT,NB/SB,1662,2019,02/13/1998
N 16TH ST,RICHARDS BL,NB,1662,3771,12/13/2018
16TH ST,T ST,NB,1661,1226,10/19/1992
ARDEN WY,COLFAX ST,EB/WB,1660,1965,01/26/2005
H ST,39TH ST,EB/WB,1659,1606,12/01/1993
DEL PASO RD,RT 5,WB,1658,1275,04/01/2010
H ST,38TH ST,EB/WB,1657,1792,03/14/1996
STOCKTON BL,MACK RD,EB,1657,1871,10/17/2017
NORTH 16TH ST,SPROULE AV,NB,1657,4071,06/07/2001
ARENA BL,RT 5,EB/WB,1656,1676,03/29/2007
HOWE AV,FAIR OAKS BL,NB,1655,1871,03/15/2003
FRANKLIN BL,EHRHARDT AV,NB/SB,1652,1266,09/08/1995
HOWE AV,LA RIVERA DR,NB,1652,1920,03/15/2003
NATOMAS BL,DEL PASO RD,SB,1651,924,10/28/2010
FRANKLIN BL,WESTHAM WY,NB/SB,1651,1373,09/18/1995
HOWE AV,FOLSOM BL,WB,1651,1464,04/14/2011
FRUITRIDGE RD,24TH ST,EB/WB,1651,1839,09/14/1993
16TH ST,G ST,NB,1650,2393,10/20/1998
ELVAS AV,J ST,NB/SB,1648,1728,10/15/2003
H ST,36TH ST,EB/WB,1648,1736,02/14/1996
H ST,56TH ST,EB/WB,1648,1862,12/01/1993
12TH ST,C ST,SB,1647,1191,09/16/2009
ARDEN WY,POINT WEST WY,WB,1646,2350,10/03/2007
POWER INN RD,ELDER CREEK RD,NB,1645,1026,06/03/1992
GARDEN HWY,GATEWAY OAKS DR,EB/WB,1645,1566,10/04/2007
43RD AV,JOHNFER WY,EB,1644,773,06/12/1997
FRUITRIDGE RD,FREEPORT BL,EB/WB,1643,1879,09/14/1993
FAIR OAKS BL,J ST,EB,1641,2109,08/23/1993
STOCKTON BL,BROADWAY,NB,1640,1006,11/22/2002
FLORIN RD,FREEPORT BL,EB,1640,1853,12/05/2002
FRUITRIDGE RD,FRANKLIN BL,EB/WB,1639,1801,09/14/1993
FRANKLIN BL,EHRHARDT AV,NB/SB,1638,2069,08/15/2002
16TH ST,E ST,NB,1638,2770,10/20/1998
BRUCEVILLE RD,COSUMNES RIVER BL,NB,1637,1327,10/27/2010
MARCONI AV,DEL PASO BL,NB/SB,1634,1864,02/08/2005
65TH EX,MC MAHON DR,NB/SB,1632,1632,11/22/1993
STOCKTON BL,T ST,NB/SB,1631,1736,09/27/1993
ARDEN WY,DEL PASO BL,EB/WB,1631,2021,10/03/2007
FRANKLIN BL,COSUMNES RIVER BL,NB/SB,1631,2290,05/30/2018
BRDWAY,19TH ST,EB/WB,1630,1674,08/11/1992
ARDEN WY,CHALLENGE WY,EB,1629,1858,04/14/2011
SHELDON RD,JOCELYN WY,EB/WB,1628,2004,02/04/2014
RICHARDS BL,BERCUT DR,EB,1627,982,04/07/1998
BRDWAY,16TH ST,EB/WB,1627,1756,04/26/1993
J ST,SANTA YNEZ WY,EB/WB,1627,1786,07/14/1998
STOCKTON BL,22ND AV,NB/SB,1627,2010,09/28/1993
FOLSOM BL,58TH ST,EB/WB,1626,1645,08/26/1993
BRUCEVILLE RD,JACINTO AV,NB/SB,1625,1805,10/01/2019
STOCKTON BL,48TH AV,NB/SB,1625,1905,09/29/1993
POWER INN RD,RAMONA AV,NB,1622,1193,02/05/2003
TRUXEL RD,ROCKYBEND DR,NB/SB,1622,1833,03/15/2003
47TH AV,KIESSIG AV,EB/WB,1622,1864,10/25/2007
RIVERSIDE BL,RIVERCREST DR,NB/SB,1620,1897,09/22/1994
65TH EX,14TH AV,NB,1619,1016,09/13/2005
FRANKLIN BL,24TH AV,NB/SB,1619,1781,10/01/2019
POWER INN RD,FRUITRIDGE RD,NB,1617,959,10/27/2009
SAN JUAN RD,TRUXEL RD,EB/WB,1617,2060,10/04/2007
W ST,10TH ST,WB,1615,1648,11/15/2018
RIVERSIDE BL,ALLENPORT WY,NB/SB,1615,1760,01/18/2001
NORTHGATE BL,TANDY WY,NB,1611,1292,03/04/2014
POCKET RD,GREENHAVEN DR,EB/WB,1611,1900,07/27/1995
NORTHGATE BL,TANDY WY,NB/SB,1611,2042,03/04/2014
MEADOWVIEW RD,TAMOSHANTER WY,EB/WB,1609,2098,02/03/1994
65TH ST,4TH AV,NB,1608,1486,04/18/1995
FRANKLIN BL,TURNBRIDGE DR,NB,1607,998,04/12/2007
65TH EX,FRUITRIDGE RD,NB/SB,1607,1698,12/16/1993
WATT AV,AUBURN BL,NB,1607,2497,06/21/1995
